# Метеостанция Нижний Новгород, Россия, WMO_ID=27459, выборка с 01.01.2022 по 01.06.2022, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27459&lang=ru
#
"Местное время в Нижнем Новгороде";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.06.2022 21:00";"21.2";"753.3";"767.1";"0.0";"42";"Ветер, дующий с востоко-юго-востока";"1";"2";"4";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"7.7";"";"";"";"";"";"";
"01.06.2022 18:00";"24.0";"753.3";"766.9";"-0.4";"36";"Ветер, дующий с востока";"1";"3";"";"70 – 80%.";" ";"";"";"";"25.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"8.0";"Осадков нет";"12";"";"";"";"";
"01.06.2022 15:00";"24.4";"753.7";"767.3";"-0.2";"32";"Ветер, дующий с востоко-юго-востока";"2";"4";"8";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"6.6";"";"";"";"";"";"";
"01.06.2022 12:00";"23.3";"753.9";"767.5";"0.0";"34";"Ветер, дующий с востоко-юго-востока";"2";"5";"5";"90  или более, но не 100%";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"6.4";"";"";"";"";"";"";
"01.06.2022 09:00";"20.6";"753.9";"767.7";"0.2";"51";"Ветер, дующий с востока";"1";"4";"4";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"10.0";"";"";"";"";"";"";
"01.06.2022 06:00";"16.5";"753.7";"767.8";"0.6";"59";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"14.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"8.5";"Осадков нет";"12";"Поверхность почвы влажная.";"14.0";"";"";
"01.06.2022 03:00";"16.1";"753.1";"767.1";"0.6";"53";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"6.5";"";"";"";"";"";"";
"01.06.2022 00:00";"15.9";"752.5";"766.5";"0.1";"55";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"6.7";"";"";"";"";"";"";
"31.05.2022 21:00";"17.7";"752.4";"766.3";"0.3";"54";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"8.3";"";"";"";"";"";"";
"31.05.2022 18:00";"21.9";"752.1";"765.8";"-0.5";"29";"Ветер, дующий с северо-востока";"1";"2";"";"70 – 80%.";" ";"";"";"";"23.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"3.1";"Осадков нет";"12";"";"";"";"";
